Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C6, C7, C8, C9",0805,7,0.1U,
"C2, C3",0805,2,10U,
"D2, D3",0805,2,LED,
F1,0805,1,Fuse,
IC1,SOT230P700X180-4N,1,REG1117-5,
"J2, J3",TE_776280-1,2,776280-1,
J4,TE_776163-5,1,1-776163-5,
"K1, K2, K3, K4, K5",RELAY_J107F1AS123VDC.36,5,J107F1AS123VDC.36,
"Q1, Q2, Q3, Q4, Q5",TO92254P470H750-3,5,2N2222A,
"R1, R20, R6",0805,3,100R,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R22, R23, R26, R33, R34, R36, R4, R7, R8, R9",0805,21,10K,
"R21, R24",0805,2,20k,
"R25, R27",0805,2,1k,
"R29, R32",0805,2,150R,
R3,0805,1,30k,
"R37, R38",0805,2,120R,
R5,0805,1,1000R,
"U1, U10, U11",SOT95P280X145-5N,3,OPA325IDBVR,
"U12, U3",SOIC127P600X175-8N,2,MCP2562-E_SN,
"U13, U4, U5, U6, U7, U8, U9",SOIC254P695X242-4N,7,VOM618A-3T,
U2,Teensy40_SMT,1,Teensy4.0,
